       U           P           F    n         Mã
 <space>    0.208333           0    3         000
       g   0.0833333    0.208333    4        0011
       n   0.0833333    0.291667    4        0100
       1   0.0833333       0.375    4        0110
       à   0.0833333    0.458333    4        0111
       2   0.0833333    0.541667    4        1000
       0   0.0416667       0.625    5       10100
       h   0.0416667    0.666667    5       10101
       t   0.0416667    0.708333    5       10110
       ă   0.0416667        0.75    5       10111
       7   0.0416667    0.791667    5       11001
       y   0.0416667    0.833333    5       11010
       4   0.0416667       0.875    5       11011
       N   0.0416667    0.916667    5       11101
       m   0.0416667    0.958333    5       11110
